,Address,Borough,Geocode,Node
404,"654 10th Avenue, New York City",Manhattan,"(40.76221, -73.9933754)",42455761
408,"400 West 23rd Street, New York City",Manhattan,"(40.7464633, -74.001667)",42437909
414,"298 7th Avenue, New York City",Manhattan,"(40.6680147, -73.98093431231882)",5956060042
429,"8-12 West 14th Street, New York City",Manhattan,"(40.73607025, -73.99399468749999)",42440710
433,"3424 Broadway, New York City",Manhattan,"(40.8226669, -73.9528891)",561035355
434,"695 Saint Nicholas Avenue, New York City",Manhattan,"(40.8238979, -73.9450549)",2562438696
441,"540 Lenox Avenue, New York City",Manhattan,"(40.8154954, -73.9392632)",42440371
442,"2730 Frederick Douglass Boulevard, New York City",Manhattan,"(40.8229311, -73.9416342)",42434249
443,"2121 Fifth Avenue, New York City",Manhattan,"(42.7976632, -73.9527343)",42735471
444,"2121 Fifth Avenue, New York City",Manhattan,"(42.7976632, -73.9527343)",42735471
447,"568 6th Avenue, New York City",Manhattan,"(40.738435, -73.9958313)",42430257
448,"610 6th Avenue, New York City",Manhattan,"(40.66212921052632, -73.98920021052632)",166878947
474,"645 10th Avenue, New York City",Manhattan,"(40.7620639, -73.9939254)",42455761
475,"665 10th avenue, New York City",Manhattan,"(40.7627496, -73.99352775557644)",42452365
494,"West 36th Street between 9th Avenue &
Dyer Avenue, New York City",Manhattan,"(40.754906, -73.996792)",42434429
495,"West 36th Street between 9th Avenue &
Dyer Avenue, New York City",Manhattan,"(40.754906, -73.996792)",42434429
496,"53 West 23rd Street, New York City",Manhattan,"(40.7425665, -73.9916148)",3859048179
497,"209 West 23rd Street, New York City",Manhattan,"(40.7445321, -73.99594498958446)",4205565530
498,"214 West 96th Street, New York City",Manhattan,"(40.7943614, -73.9714828)",7061276938
519,"313 Columbus Avenue, New York City",Manhattan,"(40.7791588, -73.9772942)",3718672433
520,"430 Columbus Avenue, New York City",Manhattan,"(40.783185599999996, -73.97502489048338)",4284246575
521,"408 Columbus Avenue, New York City",Manhattan,"(40.7822171, -73.9755542)",42443347
522,"408 Columbus Avenue, New York City",Manhattan,"(40.7822171, -73.9755542)",42443347
523,"338 Columbus Avenue, New York City",Manhattan,"(40.7799768, -73.9771961)",42443346
526,"100 West 77th Street, New York City",Manhattan,"(40.78088124999999, -73.97819027662338)",1989096601
527,"100 West 77th Street, New York City",Manhattan,"(40.78088124999999, -73.97819027662338)",1989096601
528,"100 West 77th Street, New York City",Manhattan,"(40.78088124999999, -73.97819027662338)",1989096601
529,"100 West 77th Street, New York City",Manhattan,"(40.78088124999999, -73.97819027662338)",1989096601
530,"100 West 77th Street, New York City",Manhattan,"(40.78088124999999, -73.97819027662338)",1989096601
531,"100 West 77th Street, New York City",Manhattan,"(40.78088124999999, -73.97819027662338)",1989096601
532,"30 West Broadway, New York City",Manhattan,"(40.7135914375, -74.01064840625)",42430007
533,"30 West Broadway, New York City",Manhattan,"(40.7135914375, -74.01064840625)",42430007
534,"30 West Broadway, New York City",Manhattan,"(40.7135914375, -74.01064840625)",42430007
535,"30 West Broadway, New York City",Manhattan,"(40.7135914375, -74.01064840625)",42430007
536,"30 West Broadway, New York City",Manhattan,"(40.7135914375, -74.01064840625)",42430007
539,"3664 Broadway, New York City",Manhattan,"(40.8303785, -73.9472433)",561035367
545,"2880 & 2882 Broadway, New York City",Manhattan,"(40.8484382, -73.9376339)",595473330
549,"1175 Madison Avenue, New York City",Manhattan,"(40.7809978, -73.9585211)",3392519870
561,"1941 Broadway, New York City",Manhattan,"(40.77269526923077, -73.98208307692308)",6173564344
570,"4953 Broadway, New York City",Manhattan,"(40.8484382, -73.9376339)",595473330
581,"155 & 157 Avenue C, New York City",Manhattan,"(40.725670375, -73.97781475000001)",42430938
583,"255 Greenwich Street, New York City",Manhattan,"(40.7145279, -74.0112651)",4143763628
584,"255 Greenwich Street, New York City",Manhattan,"(40.7145279, -74.0112651)",4143763628
585,"255 Greenwich Street, New York City",Manhattan,"(40.7145279, -74.0112651)",4143763628
586,"255 Greenwich Street, New York City",Manhattan,"(40.7145279, -74.0112651)",4143763628
587,"255 Greenwich Street, New York City",Manhattan,"(40.7145279, -74.0112651)",4143763628
588,"255 Greenwich Street, New York City",Manhattan,"(40.7145279, -74.0112651)",4143763628
589,"255 Greenwich Street, New York City",Manhattan,"(40.7145279, -74.0112651)",4143763628
590,"217 Broadway, New York City",Manhattan,"(40.71175625, -74.0088491967118)",4878838729
591,"101 Barclay, New York City",Manhattan,"(40.7142698, -74.0126135)",4143838197
592,"101 Barclay, New York City",Manhattan,"(40.7142698, -74.0126135)",4143838197
593,"250 Dyckman Street, New York City",Manhattan,"(40.8663299, -73.9285568)",5490791119
594,"250 Dyckman Street, New York City",Manhattan,"(40.8663299, -73.9285568)",5490791119
598,"213 Pinehurst Avenue, New York City",Manhattan,"(40.8551761, -73.9377454)",1763612255
608,"2167 Frederick Douglass Boulevard, New York City",Manhattan,"(40.8049414, -73.955275)",42435766
611,"154 West 93rd Street, New York City",Manhattan,"(40.7914827, -73.97085620960587)",42442514
612,"154 West 93rd Street, New York City",Manhattan,"(40.7914827, -73.97085620960587)",42442514
620,"1616 Amsterdam Avenue, New York City",Manhattan,"(40.8004313, -73.9657046)",42421741
621,"1616 Amsterdam Avenue, New York City",Manhattan,"(40.8004313, -73.9657046)",42421741
623,"York Avenue between E70th & E71st
Street, New York City",Manhattan,"(40.765892, -73.954634)",7136749262
624,"York Avenue between E70th & E71st
Street, New York City",Manhattan,"(40.765892, -73.954634)",7136749262
628,"201 Amsterdam Avenue, New York City",Manhattan,"(40.7767908, -73.9827343)",7050687011
629,"401 East 86th Street, New York City",Manhattan,"(40.7769608, -73.9490288)",5401397593
630,"1625 York Avenue, New York City",Manhattan,"(40.7757129, -73.9475138)",42428037
643,"157 & 161 Varick Street, New York City",Manhattan,"(40.726567, -74.005746)",3252582134
649,"201 9th Avenue, New York City",Manhattan,"(40.746102571428565, -74.001734)",42434279
654,"95 Wall Street, New York City",Manhattan,"(40.7047056, -74.00756981131559)",6139477279
655,"95 Wall Street, New York City",Manhattan,"(40.7047056, -74.00756981131559)",6139477279
