Date,Service Category,Program Area,Program Type,Provider,Program Site Name,Borough,Street Address,City,State,Postcode,Latitude,Longitude,Community Board,Community Name,Council District,Census Tract 2010,NDA,NTA,BIN,BBL,Location,Zip Codes,Community Districts,Borough Boundaries,City Council Districts,Police Precincts
06/01/2019,Housing Support,CSBG,Seniors,Council of Jewish Organizations of Flatbush Inc,COJO,Brooklyn,1542 Coney Island Avenue,Brooklyn,NY,11230,40.61965,-73.96421,Brooklyn CD 012,Ocean Parkway South,Council District 044 Brooklyn,454,NDA Not-defined,BK46,3171985,3065460007,POINT (-73.96421 40.61965),13513,2,2,18,39
06/01/2019,Educational Services,Literacy and Immigrant Services,ESL Civics,"Jewish Community Council of Greater Coney Island, Inc.",230 Broad Street,NULL,230 Broad Street,Staten Island,NY,10304,40.62349,-74.08168,Richmond CD 001,Stapleton-Rosebank,Council District 049 Richmond,,Richmond Neighborhood Development Area 001,NULL,,,POINT (-74.08168 40.62349),10691,4,1,13,74
06/01/2019,Family Support,CSBG,High School,"Phipps Neighborhoods, Inc.",Adlai Stevenson High School Campus -Millennium Art Academy,Bronx,1980 LAFAYETTE AVENUE,BRONX,NY,10473,40.82229,-73.85617,Bronx CD 009,Soundview-Castle Hill-Clason Point-Harding Park,Council District 018 Bronx,16,Bronx Neighborhood Development Area 009,BX09,2022205,2036040039,POINT (-73.85617 40.82229),11611,58,5,31,26
06/01/2019,Educational Services,SYEP,Younger Youth (YY),Research Foundation of CUNY,Medgar Evers College,Brooklyn,1534 Bedford Avenue,Brooklyn,NY,11216,40.67067,-73.95537,Brooklyn CD 008,Crown Heights North,Council District 035 Brooklyn,,Brooklyn Neighborhood Development Area 008,NULL,3032563,3012590036,POINT (-73.95537 40.67067000000001),17618,16,2,48,49
06/01/2019,Family Support,CSBG,Seniors,"Grand Street Settlement, Inc.","Grand Street Settlement, Inc.",Manhattan,80 Pitt Street,New York,NY,10002,40.71833,-73.98245,Manhattan CD 003,Lower East Side,Council District 002 Manhattan,2201,Manhattan Neighborhood Development Area 003,MN28,1084357,1003380001,POINT (-73.98245 40.71833),11723,70,4,50,4
06/01/2019,Immigrant Services,CSBG,NDA Healthy Families,Brooklyn Chinese American Association Inc,BCA's Bensonhurst Senior Center,Brooklyn,6809 20th Avenue,Brooklyn,NY,11204,40.61468,-73.98776,Brooklyn CD 011,Bensonhurst West,Council District 047 Brooklyn,258,Brooklyn Neighborhood Development Area 011,BK28,3135071,3055790007,POINT (-73.98776 40.61468),16867,1,2,45,37
06/01/2019,Family Support,CSBG,Seniors,"Neighborhood Self-Help by Older Persons Projects, Inc.","Findlay Senior Houses, Inc.",Bronx,1175 Findlay Avenue,Bronx,NY,10456,40.83227,-73.91265,Bronx CD 004,East Concourse-Concourse Village,Council District 016 Bronx,175,Bronx Neighborhood Development Area 004,BX14,2002295,2024350025,POINT (-73.91265 40.83227000000001),10934,50,5,42,27
06/01/2019,Educational Services,Compass,COMPASS Middle School,"Sports and Arts In Schools Foundation, Inc.",Science and Technology Academy: A Mott Hall School,Bronx,250 EAST 164 STREET,BRONX,NY,10456,40.8287,-73.91767,NULL,NULL,Council District 16 Bronx,18302,NULL,BX14,2002497,2024460043,POINT (-73.91767 40.8287),10934,50,5,42,27
06/01/2019,Educational Services,SYEP,Older Youth (OY),"Catholic Charities Neighborhood Services, Inc.",La Plaza Beacon Program at JHS 143,Manhattan,515 west 182 St.,Manhattan,NY,10033,40.84918,-73.93115,Manhattan CD 012,Washington Heights North,Council District 010 Manhattan,,Manhattan Neighborhood Development Area 012,NULL,1063703,1021550035,POINT (-73.93115 40.84918),13091,47,4,39,22
06/01/2019,Educational Services,CSBG,Opportunity Youth Support,Argus Community Inc,Argus Community,Bronx,760 East 160th Street,Bronx,NY,10456,40.82044,-73.90474,Bronx CD 001,Melrose South-Mott Haven North,Council District 017 Bronx,77,Bronx Neighborhood Development Area 001,BX34,2004691,2026560007,POINT (-73.90474 40.82044),10934,49,5,43,23
