Date,Service Category,Program Area,Program Type,Provider,Program Site Name,Borough,Street Address,City,State,Postcode,Latitude,Longitude,Community Board,Community Name,Council District,Census Tract 2010,NDA,NTA,BIN,BBL,Location,Zip Codes,Community Districts,Borough Boundaries,City Council Districts,Police Precincts
06/01/2019,Community Services,Compass,COMPASS Elementary,Women's Housing and Economic Development Corporation (WHEDCO,P.S./I.S. 218 Rafael Hernandez Dual Language Magnet School,Bronx,1220 GERARD AVENUE,BRONX,NY,10452,40.83585,-73.92003,NULL,NULL,Council District 16 Bronx,197,NULL,BX63,2097130,2024800008,POINT (-73.92003 40.83585),10930,50,5,42,27
06/01/2019,Community Services,Compass,COMPASS Elementary,The Young Women's Christian Association of the City of NY,P.S. 90 EDNA COHEN SCHOOL,Brooklyn,2840 WEST 12 STREET,BROOKLYN,NY,11224,40.57826,-73.97963,NULL,NULL,Council District 47 Brooklyn,350,NULL,BK23,3196558,3072660040,POINT (-73.97963 40.57826000000001),18184,21,2,45,35
06/01/2019,Afterschool Programs,Cornerstone,Cornerstone,"Action Center for Education and Community Development, Inc",Hammel - Action Center,Queens,81-14 Rockaway Beach Boulevard,Queens,NY,11693,40.58836,-73.8083,NULL,NULL,NULL,,NULL,NULL,4436315,4161140002,POINT (-73.80830000000002 40.58836),20531,51,3,47,58
06/01/2019,Community Services,Compass,COMPASS Middle School,"Sports and Arts In Schools Foundation, Inc.",East Flatbush Community Research School,Brooklyn,905 WINTHROP STREET,BROOKLYN,NY,11203,40.65843,-73.92908,NULL,NULL,Council District 41 Brooklyn,880,NULL,BK60,3099733,3046060025,POINT (-73.92908 40.65843),16866,61,2,17,40
06/01/2019,Community Services,Compass,COMPASS Elementary,"Harlem Children's Zone, Inc",P.S. 242 - The Young Diplomats Magnet Academy,Manhattan,134 WEST 122 STREET,MANHATTAN,NY,10027,40.8063,-73.94801,NULL,NULL,Council District 09 Manhattan,220,NULL,MN11,1057683,1019060011,POINT (-73.94801 40.8063),12424,18,4,36,18
06/01/2019,Community Services,Compass,COMPASS Middle School,"Learning Through An Expanded Arts Program, Inc.",Dock Street School for STEAM Studies,Brooklyn,19 Dock Street,Brooklyn,NY,11201,40.70311,-73.99255,Brooklyn CD 002,DUMBO-Vinegar Hill-Downtown Brooklyn-Boerum Hill,Council District 033 Brooklyn,21,Brooklyn Neighborhood Development Area 002,BK38,3398406,3000367504,POINT (-73.99255 40.70311),16865,68,2,38,54
06/01/2019,Afterschool Programs,Cornerstone,Cornerstone,Scan New York Volunteer Parent Aides Association Inc,Johnson - SCAN,Manhattan,1820 Lexington Ave.,New York,NY,10029,40.79652,-73.94317,Manhattan CD 011,East Harlem North,Council District 008 Manhattan,182,Manhattan Neighborhood Development Area 011,MN34,1079195,1016400001,POINT (-73.94317 40.79652),12426,7,4,35,14
06/01/2019,Community Services,Compass,COMPASS Elementary,The Salvation Army,The Salvation Army Sunset Park Community Center,Brooklyn,520 50 Street,Brooklyn,NY,11220,40.64471,-74.00968,NULL,NULL,Council District 38 Brooklyn,98,NULL,BK34,3013309,3007920012,POINT (-74.00968 40.64471),18180,9,2,7,45
06/01/2019,Afterschool Programs,Cornerstone,Cornerstone,Child Development Ctr of the Mosholu Montefiore Comm Center,Pelham Parkway - MMCC,Bronx,785 Pelham Parkway North,Bronx,NY,10467,40.85791,-73.86461,NULL,NULL,Council District 13 Bronx,328,NULL,BX07,2093364,2043490001,POINT (-73.86461 40.85791),11271,59,5,12,32
06/01/2019,Afterschool Programs,Compass,COMPASS Elementary,"New York Junior Tennis League, Inc",P.S./I.S. 187 Hudson Cliffs,Manhattan,349 CABRINI BOULEVARD,MANHATTAN,NY,10040,40.85669,-73.93709,NULL,NULL,Council District 10 Manhattan,273,NULL,MN35,1064371,1021790365,POINT (-73.93709 40.85669),13098,47,4,39,22
06/01/2019,Community Services,Compass,COMPASS Explore,New York Public Library,Baychester Library,Bronx,2049 Asch Loop,Bronx,NY,10475,40.87073,-73.82934,210,NULL,12,46201,0,BX13,2097466,2051410100,POINT (-73.82934 40.87073),12344,43,5,2,28
06/01/2019,Community Services,Compass,COMPASS High School,Kingsbridge Heights Community Center Inc,Bronx Theatre High School,Bronx,99 TERRACE VIEW AVENUE,BRONX,NY,10463,40.87711,-73.91226,NULL,NULL,Council District 10 Bronx,309,NULL,MN01,1064532,1022150080,POINT (-73.91226 40.87711000000001),11272,48,4,39,33
06/01/2019,Community Services,Compass,COMPASS Elementary,University Settlement Society of New York,The STAR Academy - P.S.63,Manhattan,121 EAST 3 STREET,MANHATTAN,NY,10009,40.72412,-73.98638,Richmond CD 001,NULL,Council District 02 Manhattan,32,NULL,MN22,1005760,1004310014,POINT (-73.98638 40.72412),11729,70,4,50,5
06/01/2019,Community Services,Beacon,Beacon,"Samuel Field YM & YWHA, Inc.",JHS 216 GEORGE J RYAN (Q216),Queens,69-10 65th Drive,QUEENS,NY,11379,40.71534,-73.88622,NULL,NULL,Council District 30 Queens,659,NULL,QN21,4070445,4030270037,POINT (-73.88622 40.715340000000005),15309,54,3,34,62
06/01/2019,Community Services,Beacon,Beacon,"United Activities Unlimited, Inc.",United Activities IS 2 Beacon,NULL,333 MIDLAND AVENUE,STATEN ISLAND,NY,10306,40.57729,-74.10028,Richmond Community Districts,NULL,NULL,,NULL,NULL,,,POINT (-74.10028 40.57729),10693,30,1,14,76
06/01/2019,Community Services,Compass,COMPASS Elementary,Brooklyn Bureau of Community Service,P.S. 021 Crispus Attucks,Brooklyn,180 CHAUNCEY STREET,BROOKLYN,NY,11233,40.6806,-73.92771,NULL,NULL,NULL,,NULL,NULL,3047914,3016920017,POINT (-73.92771 40.6806),13516,69,2,49,52
06/01/2019,Community Services,Compass,COMPASS Elementary,"Grand Street Settlement, Inc.",P.S. 196 Ten Eyck,Brooklyn,207 BUSHWICK AVENUE,BROOKLYN,NY,11206,40.70872,-73.94,NULL,NULL,Council District 34 Brooklyn,485,NULL,BK78,3071024,3030460001,POINT (-73.94 40.70872),17213,36,2,30,56
06/01/2019,Afterschool Programs,CSBG,High School,Research Foundation of CUNY,Academy of Innovative Technology,Brooklyn,999 Jamaica Avenue,Brooklyn,NY,11208,40.69115,-73.86833,Brooklyn CD 005,park-cemetery-etc-Brooklyn,Council District 037 Brooklyn,1180,NDA Not-defined,BK99,3090738,3040940001,POINT (-73.86833 40.69115),17215,45,2,37,47
06/01/2019,Afterschool Programs,CSBG,High School,Ecumenical Community Development Organization,Apollo Theater,Manhattan,253 West 125th Street,New York,NY,10027,40.80978,-73.95021,Manhattan CD 010,Central Harlem South,Council District 009 Manhattan,222,Manhattan Neighborhood Development Area 010,MN11,1058654,1019310010,POINT (-73.95021 40.80978),12424,18,4,36,18
06/01/2019,Community Services,Compass,COMPASS Middle School,B.E.L.L. Foundation,Eagle Academy for Young Men,Bronx,4143 THIRD AVENUE,BRONX,NY,10457,40.84496,-73.89705,NULL,NULL,Council District 15 Bronx,395,NULL,BX01,2117666,2029230018,POINT (-73.89705 40.84496),10935,35,5,22,31
06/01/2019,Community Services,Compass,COMPASS High School,The Children's Aid Society,The Opportunity Charter School,Manhattan,240 WEST 113 STREET,MANHATTAN,NY,10026,40.80169,-73.95491,NULL,NULL,Council District 09 Manhattan,216,NULL,MN11,1055111,1018280015,POINT (-73.95491000000001 40.80169),12423,18,4,36,18
06/01/2019,Afterschool Programs,Cornerstone,Cornerstone,Sunnyside Community Services Inc,Woodside - Sunnyside,Queens,50-19 Broadway,Queens,NY,11377,40.75497,-73.91047,NULL,NULL,Council District 26 Queens,163,NULL,QN70,4431001,4007380050,POINT (-73.91047 40.75497),14787,39,3,33,72
06/01/2019,Afterschool Programs,Compass,COMPASS Middle School,"Police Athletic League, Inc.",The Michael J. Petrides School,NULL,715 OCEAN TERRACE,STATEN ISLAND,NY,10301,40.60844,-74.10526,Richmond Community Districts,NULL,NULL,,NULL,NULL,,,POINT (-74.10526 40.60844),10369,30,1,14,76
06/01/2019,Community Services,Compass,COMPASS High School,The Children's Aid Society,Curtis High School,NULL,105 HAMILTON AVENUE,STATEN ISLAND,NY,10301,40.64519,-74.08166,NULL,NULL,NULL,,NULL,NULL,,,POINT (-74.08166 40.64519),10369,4,1,13,74
06/01/2019,Community Services,Compass,COMPASS Elementary,Child Development Ctr of the Mosholu Montefiore Comm Center,P.S. 041 Gun Hill Road,Bronx,3352 OLINVILLE AVENUE,BRONX,NY,10467,40.87431,-73.86816,NULL,NULL,Council District 12 Bronx,374,NULL,BX44,2056898,2046240015,POINT (-73.86816 40.87431),11605,29,5,2,30
06/01/2019,Community Services,Compass,COMPASS Middle School,"Samuel Field YM & YWHA, Inc.",BELL Academy,Queens,18-25 212 STREET,QUEENS,NY,11360,40.7823,-73.7791,NULL,NULL,Council District 19 Queens,99704,NULL,QN47,4131147,4058650050,POINT (-73.77910000000001 40.7823),14195,22,3,20,67
06/01/2019,Community Services,Compass,COMPASS Elementary,"Bergen Beach Youth Organization, Inc.",P.S. 207 Elizabeth G. Leary,Brooklyn,4011 FILLMORE AVENUE,BROOKLYN,NY,11234,40.61335,-73.93013,NULL,NULL,Council District 46 Brooklyn,652,NULL,BK45,3239388,3084840001,POINT (-73.93013 40.61335),13825,5,2,8,38
06/01/2019,Community Services,Compass,COMPASS Elementary,"Sheltering Arms Children and Family Services, Inc.",P.S. 75 School of Research and Discovery,Bronx,984 FAILE STREET,BRONX,NY,10459,40.82272,-73.88944,NULL,NULL,Council District 17 Bronx,119,NULL,BX27,2006079,2027470001,POINT (-73.88944 40.82272),10937,8,5,43,24
06/01/2019,Community Services,Compass,COMPASS Elementary,Federation of Italian-American Organizations of Brooklyn LTD,P.S. 048 Mapleton,Brooklyn,6015 18 AVENUE,BROOKLYN,NY,11204,40.62187,-73.9874,NULL,NULL,Council District 44 Brooklyn,244,NULL,BK88,3132140,3055190001,POINT (-73.9874 40.62187),16867,2,2,18,39
06/01/2019,Afterschool Programs,Cornerstone,Cornerstone,Henry Street Settlement,Riis - Henry Street Settlement,Manhattan,80 Avenue D,Manhattan,NY,10009,40.72256,-73.97683,Richmond CD 001,NULL,Council District 02 Manhattan,24,NULL,MN28,1077552,1003620001,POINT (-73.97683 40.72256),11729,70,4,50,5
06/01/2019,Community Services,Compass,COMPASS Explore,Women's Housing and Economic Development Corporation (WHEDCO,WHEDco Urban Horizons Teen Leadership Center,Bronx,50 East 168th Street,Bronx,NY,10452,40.83672,-73.91929,NULL,NULL,Council District 16 Bronx,197,NULL,BX63,2101464,2024800001,POINT (-73.91929 40.83672),10930,50,5,42,27
06/01/2019,Afterschool Programs,Compass,COMPASS Middle School,The Child Center of NY Inc,J.H.S. 185 Edward Bleeker,Queens,147-26 25 DRIVE,QUEENS,NY,11354,40.77512,-73.8185,NULL,NULL,NULL,,NULL,NULL,4108664,4048020001,POINT (-73.8185 40.77512),13832,22,3,20,67
06/01/2019,Afterschool Programs,Compass,COMPASS Middle School,"Samuel Field YM & YWHA, Inc.",P.S./ IS 178 Holliswood,Queens,189-10 RADNOR ROAD,QUEENS,NY,11423,40.72448,-73.77745,NULL,NULL,Council District 23 Queens,1277,NULL,QN06,4156558,4072770001,POINT (-73.77745 40.72448000000001),24332,25,3,16,65
06/01/2019,Community Services,Compass,COMPASS Middle School,"Sports and Arts In Schools Foundation, Inc.",Academy for New Americans,Brooklyn,345 Van Sicklen Street,Brooklyn,NY,11223,40.5957,-73.97518,Brooklyn CD 015,Gravesend,Council District 047 Brooklyn,398,Brooklyn Neighborhood Development Area 015,BK26,3192661,3071230066,POINT (-73.97518 40.5957),18183,32,2,45,36
06/01/2019,Afterschool Programs,Compass,COMPASS Middle School,"BronxWorks, Inc.",South Bronx Preparatory: A College Board School,Bronx,360 EAST 145 STREET,BRONX,NY,10454,40.81398,-73.92078,NULL,NULL,Council District 08 Bronx,43,NULL,BX39,2097038,2023060054,POINT (-73.92078 40.81398),10933,49,5,35,23
06/01/2019,Community Services,Compass,COMPASS Middle School,Union Settlement Association Inc,ESPERANZA PREPARATORY ACADEMY,Manhattan,240 EAST 109 STREET,MANHATTAN,NY,10029,40.79307,-73.9423,NULL,NULL,Council District 08 Manhattan,170,NULL,MN33,1052433,1016560100,POINT (-73.9423 40.79307),12426,7,4,35,14
06/01/2019,Afterschool Programs,Compass,COMPASS Elementary,"Catholic Charities Neighborhood Services, Inc.",P.S. 106 Edward Everett Hale,Brooklyn,1328 PUTNAM AVENUE,BROOKLYN,NY,11221,40.69388,-73.91306,NULL,NULL,Council District 37 Brooklyn,435,NULL,BK77,3077286,3033770001,POINT (-73.91306 40.69388),18181,42,2,37,53
06/01/2019,Afterschool Programs,Compass,COMPASS High School,ST. NICKS ALLIANCE CORP.,PROGRESS High School for Professional Careers,Brooklyn,850 GRAND STREET,BROOKLYN,NY,11211,40.71218,-73.93972,NULL,NULL,Council District 34 Brooklyn,485,NULL,BK78,3325733,3030160001,POINT (-73.93972 40.71218),17613,36,2,30,56
06/01/2019,Community Services,Compass,COMPASS Elementary,The Children's Aid Society,East Harlem Center,Manhattan,130 East 101st Street,New York,NY,10029,40.78931,-73.94923,NULL,NULL,Council District 08 Manhattan,166,NULL,MN33,1051816,1016280062,POINT (-73.94923 40.78931),12426,7,4,35,14
06/01/2019,Afterschool Programs,Compass,COMPASS Middle School,"Inwood Community Services, Inc.",WASHINGTON HEIGHTS ACADEMY,Manhattan,202 SHERMAN AVE,MANHATTAN,NY,10034,40.8654,-73.9211,NULL,NULL,Council District 10 Manhattan,293,NULL,MN01,1081910,1022260041,POINT (-73.9211 40.8654),13092,47,4,39,22
06/01/2019,Community Services,Compass,COMPASS Elementary,Jacob A. Riis Neighborhood Settlement,P.S. 111 Jacob Blackwell,Queens,37-15 13 STREET,QUEENS,NY,11101,40.75883,-73.93938,NULL,NULL,Council District 26 Queens,43,NULL,QN68,4004419,4003630001,POINT (-73.93938 40.75883),16858,39,3,33,72
06/01/2019,Afterschool Programs,Cornerstone,Cornerstone,St Vincent's Services Inc,Wyckoff - Heartshare St. Vincent's,Brooklyn,280 Wyckoff Street,Brooklyn,NY,11217,40.68336,-73.98394,NULL,NULL,Council District 33 Brooklyn,127,NULL,BK38,3336056,3003940001,POINT (-73.98394 40.68336),17619,14,2,38,50
06/01/2019,Community Services,Compass,COMPASS Elementary,Italian American Civil Rights League Canarsie Inc,P.S. 346 Abe Stark,Brooklyn,1400 PENNSYLVANIA AVENUE,BROOKLYN,NY,11239,40.64726,-73.88111,NULL,NULL,Council District 42 Brooklyn,105804,NULL,BK93,3098294,3044520025,POINT (-73.88111 40.64726),13830,45,2,25,47
06/01/2019,Afterschool Programs,Cornerstone,Cornerstone,"United Activities Unlimited, Inc.",Mariner's Harbor - UAU,NULL,157 Brabant Street,Staten Island,NY,10303,40.63199,-74.16375,NULL,NULL,NULL,,NULL,NULL,,,POINT (-74.16375 40.63199),10371,4,1,13,75
06/01/2019,Afterschool Programs,Compass,COMPASS Elementary,"New York Junior Tennis League, Inc",P.S. 100 Isaac Clason,Bronx,800 TAYLOR AVENUE,BRONX,NY,10473,40.82141,-73.86298,NULL,NULL,Council District 18 Bronx,42,NULL,BX09,2022550,2036410001,POINT (-73.86298000000001 40.82141),11611,58,5,31,26
06/01/2019,Community Services,Compass,COMPASS Middle School,"Urban Strategies, Inc.",Final Form Fitness,Brooklyn,1747 Pitkin Avenue,Brooklyn,NY,11212,40.67001,-73.90857,NULL,NULL,Council District 41 Brooklyn,906,NULL,BK81,3338513,3034890260,POINT (-73.90857 40.67001),17614,55,2,17,46
06/01/2019,Community Services,Compass,COMPASS Elementary,Scan New York Volunteer Parent Aides Association Inc,P.S. 073 Bronx,Bronx,1020 ANDERSON AVENUE,BRONX,NY,10452,40.83271,-73.92684,NULL,NULL,Council District 08 Bronx,189,NULL,BX26,2003051,2025040082,POINT (-73.92684 40.83271),10930,50,5,35,27
06/01/2019,Community Services,Compass,COMPASS Elementary,"Police Athletic League, Inc.",P.S. 78,NULL,100 TOMPKINS AVENUE,STATEN ISLAND,NY,10304,40.62224,-74.07911,NULL,NULL,NULL,,NULL,NULL,,,POINT (-74.07911 40.62224),10691,4,1,13,74
06/01/2019,Community Services,Beacon,Beacon,Scan New York Volunteer Parent Aides Association Inc,WADLEIGH HIGH SCHOOL FOR PERFORMING  ARTS,Manhattan,215 West 114th Street,NEW YORK,NY,10026,40.80221,-73.95414,Manhattan CD 010,Central Harlem South,Council District 009 Manhattan,218,Manhattan Neighborhood Development Area 010,MN11,1055204,1018300019,POINT (-73.95414 40.80221),12423,18,4,36,18
06/01/2019,Community Services,Compass,COMPASS Elementary,University Settlement Society of New York,P.S. 219 Kennedy-King,Brooklyn,1060 CLARKSON AVENUE,BROOKLYN,NY,11212,40.6591,-73.92237,NULL,NULL,NULL,,NULL,NULL,3101168,3046480001,POINT (-73.92237 40.6591),17614,61,2,17,40
06/01/2019,Community Services,Compass,COMPASS Elementary,SCO Family of Services,P.S. 169 Sunset Park,Brooklyn,4305 7 AVENUE,BROOKLYN,NY,11232,40.64629,-74.0019,NULL,NULL,Council District 38 Brooklyn,92,NULL,BK34,3011002,3007320001,POINT (-74.0019 40.64629),13515,9,2,7,45
06/01/2019,Community Services,Compass,COMPASS Middle School,RiseBoro Community Partnership Inc,All City Leadership Secondary School,Brooklyn,321 Palmetto Street,Brooklyn,NY,11237,40.69759,-73.9131,304,NULL,37,433,4,BK77,3413715,3033440136,POINT (-73.9131 40.69759),13828,42,2,37,53
06/01/2019,Community Services,Compass,COMPASS Elementary,Renaissance Youth Center,P.S. 146 Edward Collins,Bronx,968 CAULDWELL AVENUE,BRONX,NY,10456,40.82503,-73.90614,NULL,NULL,Council District 16 Bronx,185,NULL,BX35,2004498,2026320027,POINT (-73.90614 40.82503),10934,34,5,42,25
06/01/2019,Community Services,Compass,COMPASS Elementary,The Children's Aid Society,Central Park East II,Manhattan,433 EAST 100 STREET,MANHATTAN,NY,10029,40.78526,-73.94153,NULL,NULL,Council District 08 Manhattan,162,NULL,MN33,1083933,1016940001,POINT (-73.94153 40.78526),12426,7,4,35,14
06/01/2019,Community Services,Compass,COMPASS Middle School,"Manhattan Youth Recreation and Resources, Inc.",City Knoll Middle School,Manhattan,425 WEST 33RD STREET,MANHATTAN,NY,10001,40.75309,-73.99764,Richmond CD 002,NULL,Council District 03 Manhattan,103,NULL,MN13,1012851,1007310054,POINT (-73.99764 40.75309),11722,12,4,10,6
06/01/2019,Afterschool Programs,Compass,COMPASS Elementary,Child Development Ctr of the Mosholu Montefiore Comm Center,P.S. 094 Kings College School,Bronx,3530 KINGS COLLEGE PLACE,BRONX,NY,10467,40.88052,-73.87572,NULL,NULL,Council District 11 Bronx,431,NULL,BX43,2018628,2033560042,POINT (-73.87572 40.88052),11605,24,5,40,34
06/01/2019,Community Services,Compass,COMPASS Elementary,"Sports and Arts In Schools Foundation, Inc.",P.S. 096,Queens,130-01 ROCKAWAY BOULEVARD,QUEENS,NY,11420,40.67499,-73.80837,NULL,NULL,Council District 28 Queens,180,NULL,QN55,4253028,4116940027,POINT (-73.80837 40.67499),24016,62,3,46,64
06/01/2019,Community Services,Compass,COMPASS Middle School,"Jewish Community Council of Greater Coney Island, Inc.","Associated Beth Rivkah Schools, Inc",Brooklyn,310 Crown Street,Brooklyn,NY,11225,40.66621,-73.9496,NULL,NULL,Council District 35 Brooklyn,319,NULL,BK63,3034180,3012970023,POINT (-73.9496 40.66621),13509,17,2,48,44
06/01/2019,Community Services,Beacon,Beacon,"CAMBA, Inc.",Beacon 269,Brooklyn,1957 NOSTRAND AVENUE,BROOKLYN,NY,11210,40.63771,-73.94816,NULL,NULL,Council District 45 Brooklyn,788,NULL,BK42,3113780,3049940023,POINT (-73.94816 40.63771),17217,61,2,26,40
06/01/2019,Afterschool Programs,Cornerstone,Cornerstone,Coalition for Hispanic Family Services,Cooper Park - Coalition,Brooklyn,76 Kingsland Avenue,Brooklyn,NY,11211,40.71837,-73.94042,NULL,NULL,Council District 34 Brooklyn,449,NULL,BK90,3332781,3028670001,POINT (-73.94042 40.71837000000001),18182,36,2,30,57
06/01/2019,Community Services,Compass,COMPASS Middle School,"Sheltering Arms Children and Family Services, Inc.",Eagle Academy for Young Men of Harlem,Manhattan,6 EDGECOMBE AVENUE,MANHATTAN,NY,10030,40.81737,-73.94771,NULL,NULL,Council District 09 Manhattan,22102,NULL,MN03,1059460,1019600001,POINT (-73.94771 40.817370000000004),12427,18,4,36,20
06/01/2019,Afterschool Programs,Compass,COMPASS Middle School,"Aspira of New York, Inc.",St. Helena School,Bronx,2050 Benedict Avenue,Bronx,NY,10462,40.83447,-73.85635,NULL,NULL,Council District 18 Bronx,222,NULL,BX46,2028943,2039320075,POINT (-73.85635 40.83447),11271,58,5,31,26
06/01/2019,Afterschool Programs,Compass,COMPASS Middle School,"Queens Community House, Inc.","Young Women's Leadership School, Queens",Queens,150-91 87 ROAD,QUEENS,NY,11432,40.70753,-73.80641,NULL,NULL,Council District 24 Queens,236,NULL,QN35,4207510,4097070048,POINT (-73.80641 40.70753),24340,25,3,24,65
06/01/2019,Community Services,Compass,COMPASS Middle School,"Casita Maria, Inc.",Bronx Studio School for Writers and Artists,Bronx,928 SIMPSON STREET,BRONX,NY,10459,40.82058,-73.89313,NULL,NULL,Council District 17 Bronx,89,NULL,BX27,2116211,2027230033,POINT (-73.89313000000001 40.82058),10937,8,5,43,24
06/01/2019,Afterschool Programs,CSBG,High School,Coalition for Hispanic Family Services,Pan American International High School,Queens,45-10 94TH STREET,QUEENS,NY,11373,40.74373,-73.87064,Queens CD 004,Elmhurst,Council District 025 Queens,463,Queens Neighborhood Development Area 004,QN29,4437166,4016000061,POINT (-73.87064 40.74373),14784,66,3,5,68
06/01/2019,Afterschool Programs,CSBG,High School,Ecumenical Community Development Organization,Harlem Villiage Academy (HVAC),Bronx,"5521 Mosholu Ave, Riverdale, NY 10471",Bronx,NY,10471,40.90304,-73.90375,NULL,NULL,Council District 11 Bronx,337,NULL,BX22,2119685,2058501585,POINT (-73.90375 40.90304),11609,48,5,40,33
06/01/2019,Community Services,Compass,COMPASS Elementary,School Settlement Association,P.S. 034 Oliver H. Perry,Brooklyn,131 NORMAN AVENUE,BROOKLYN,NY,11222,40.72613,-73.94965,NULL,NULL,Council District 33 Brooklyn,573,NULL,BK76,3065733,3026220028,POINT (-73.94965 40.72613),18182,36,2,38,57
06/01/2019,Afterschool Programs,Cornerstone,Cornerstone,"CAMBA, Inc.",Howard - CAMBA,Brooklyn,90 Watkins Street,Brooklyn,NY,11212,40.67084,-73.90818,NULL,NULL,Council District 41 Brooklyn,906,NULL,BK81,3348343,3034890001,POINT (-73.90818 40.67084),17614,55,2,17,46
06/01/2019,Community Services,Compass,COMPASS Middle School,The Children's Aid Society,I S 218 SALOME URENA (M218),Manhattan,4600 BROADWAY,MANHATTAN,NY,10040,40.86079,-73.93067,NULL,NULL,Council District 10 Manhattan,285,NULL,MN35,1076756,1021720016,POINT (-73.93067 40.86079),13098,47,4,39,22
06/01/2019,Community Services,Compass,COMPASS Middle School,South Bronx Overall Economic Development Corporation,Emolior Academy,Bronx,1970 WEST FARMS ROAD,BRONX,NY,10460,40.83956,-73.88036,NULL,NULL,Council District 17 Bronx,60,NULL,BX75,2094603,2030210038,POINT (-73.88036 40.83956),11269,35,5,43,31
06/01/2019,Afterschool Programs,Compass,COMPASS Middle School,Purelements: An Evolution in Dance Inc,Trey Whitfield School,Brooklyn,17 Hinsdale Street,NULL,NY,11207,40.67496,-73.90149,NULL,NULL,Council District 37 Brooklyn,1144,NULL,BK85,3083450,3036820033,POINT (-73.90149 40.674960000000006),17214,45,2,37,47
06/01/2019,Community Services,Beacon,Beacon,Child Development Ctr of the Mosholu Montefiore Comm Center,Bronx Lab School,Bronx,800 E. Gun Hill Road,Bronx,NY,10467,40.87595,-73.86197,Bronx CD 012,Williamsbridge-Olinville,Council District 012 Bronx,372,Bronx Neighborhood Development Area 012,BX44,2057045,2046330040,POINT (-73.86197 40.87595),11605,29,5,2,30
06/01/2019,Community Services,Compass,COMPASS Middle School,Research Foundation of CUNY,Community Roots Charter School,Brooklyn,51 SAINT EDWARDS STREET,BROOKLYN,NY,11205,40.69563,-73.97821,NULL,NULL,Council District 35 Brooklyn,2901,NULL,BK68,3332507,3020390002,POINT (-73.97821 40.69563),17212,68,2,48,55
06/01/2019,Community Services,Compass,COMPASS Middle School,East Harlem Tutorial Program Inc,East Harlem Scholars Academy Charter School,Manhattan,2050 2nd Avenue,New York,NY,10029,40.79026,-73.94269,Manhattan CD 011,East Harlem South,Council District 008 Manhattan,170,Manhattan Neighborhood Development Area 011,MN33,1089693,1016770001,POINT (-73.94269 40.79026),12426,7,4,35,14
06/01/2019,Community Services,CSBG,Opportunity Youth Support,Bridge Street Development Corporation,Quincy Senior Residences,Brooklyn,625 Quincy Street,Brooklyn,NY,11221,40.68886,-73.93425,Brooklyn CD 003,Stuyvesant Heights,Council District 036 Brooklyn,291,Brooklyn Neighborhood Development Area 003,BK35,3390995,3016250034,POINT (-73.93425 40.68886),18181,69,2,49,52
06/01/2019,Afterschool Programs,Compass,COMPASS Middle School,YMCA of Greater New York/Vanderbilt,Tag Young Scholars,Manhattan,240 EAST 109 STREET,MANHATTAN,NY,10029,40.79307,-73.9423,NULL,NULL,Council District 08 Manhattan,170,NULL,MN33,1052433,1016560100,POINT (-73.9423 40.79307),12426,7,4,35,14
06/01/2019,Community Services,Cornerstone,Cornerstone,"Action Center for Education and Community Development, Inc",Hammel - Action Center,Queens,81-14 Rockaway Beach Boulevard,Queens,NY,11693,40.58836,-73.8083,NULL,NULL,NULL,,NULL,NULL,4436315,4161140002,POINT (-73.80830000000002 40.58836),20531,51,3,47,58
06/01/2019,Community Services,CSBG,Housing,Asian Americans for Equality Inc,AAFE JACKSON HEIGHTS,Queens,93-03 Roosevelt Ave,Jackson Heights,NY,11372,40.74874,-73.8736,Queens CD 003,Jackson Heights,Council District 021 Queens,273,Queens Neighborhood Development Area 003,QN28,4448464,4014810051,POINT (-73.8736 40.74874),14783,65,3,21,73
06/01/2019,Community Services,CSBG,NDA Healthy Families,Jacob A. Riis Neighborhood Settlement,"Jacob A. Riis Neighborhood Settlement, Inc.",Queens,10-25 41st Avenue,Long Island City,NY,11101,40.75549,-73.94533,Queens CD 001,Queensbridge-Ravenswood-Long Island City,Council District 026 Queens,25,Queens Neighborhood Development Area 001,QN68,4433386,4004700100,POINT (-73.94533 40.75549),16858,39,3,33,72
06/01/2019,Community Services,Compass,COMPASS Explore,The Children's Aid Society,East Harlem Center,Manhattan,130 East 101st Street,New York,NY,10029,40.78931,-73.94923,NULL,NULL,Council District 08 Manhattan,166,NULL,MN33,1051816,1016280062,POINT (-73.94923 40.78931),12426,7,4,35,14
06/01/2019,Community Services,Compass,COMPASS Middle School,Play Study Win Inc,P.S./I.S. 187 Hudson Cliffs,Manhattan,349 CABRINI BOULEVARD,MANHATTAN,NY,10040,40.85669,-73.93709,NULL,NULL,Council District 10 Manhattan,273,NULL,MN35,1064371,1021790365,POINT (-73.93709 40.85669),13098,47,4,39,22
06/01/2019,Community Services,Beacon,Beacon,"Catholic Charities Community Services, Archdiocese of NY",PS 011 HIGHBRIDGE (X011),Queens,147-26 25 DRIVE,QUEENS,NY,11354,40.77512,-73.8185,NULL,NULL,NULL,,NULL,NULL,4108664,4048020001,POINT (-73.8185 40.77512),13832,22,3,20,67
06/01/2019,Community Services,CSBG,High School,"Phipps Neighborhoods, Inc.",Urban Assembly School for Wildlife Conservation,Bronx,2024 MOHEGAN AVENUE,Bronx,NY,10460,40.84394,-73.88479,Bronx CD 006,East Tremont,Council District 017 Bronx,363,Bronx Neighborhood Development Area 006,BX17,2013142,2031230003,POINT (-73.88479 40.84394),11269,35,5,43,31
